2026-08-31 13:09:00,629 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,654 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,663 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,667 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,671 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,674 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,676 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,682 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,684 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,688 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,691 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,695 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,695 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,700 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,701 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,707 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,710 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,714 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,714 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,719 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,722 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,725 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
2026-08-31 13:09:00,729 | INFO     | src.silver.cleaner | Valeurs manquantes remplacées : genre=0, age=0
2026-08-31 13:09:00,732 | INFO     | src.silver.cleaner | Nettoyage terminé : 1 lignes, 17 colonnes.
2026-08-31 13:09:00,735 | INFO     | src.silver.cleaner | Nettoyage de 1 lignes...
